Código Departamento,Código Entidad,prov
1,1001,0.0
5,5000,0.0
5,5001,5122501.040000001
5,5002,21470.609999999997
5,5004,4367.6
5,5021,8059.5599999999995
5,5030,24904.68
5,5031,32505.359999999997
5,5034,41619.81
5,5036,8352.73
5,5038,15954.739999999998
5,5040,20704.34
5,5042,41495.590000000004
5,5044,12778.89
5,5045,163907.18999999997
5,5051,39149.509999999995
5,5055,8999.98
5,5059,5646.33
5,5079,52892.14
5,5086,6558.69
5,5088,320771.18000000005
5,5091,11037.51
5,5093,21979.53
5,5101,26258.86
5,5107,26766.510000000002
5,5113,12574.46
5,5120,31120.670000000002
5,5125,11853.66
5,5129,40471.27
5,5134,12993.12
5,5138,19109.510000000002
5,5142,7131.62
5,5145,6312.280000000001
5,5147,45526.98
5,5148,42522.31
5,5150,8284.259999999998
5,5154,106887.95
5,5172,54105.69
5,5190,11321.18
5,5197,15453.78
5,5206,7235.240000000001
5,5209,24997.579999999998
5,5212,53029.54000000001
5,5234,9975.509999999998
5,5237,13829.320000000002
5,5240,13995.84
5,5250,61973.149999999994
5,5264,15863.140000000001
5,5266,379656.57
5,5282,15235.680000000002
5,5284,22697.55
5,5306,7547.420000000001
5,5308,62397.79000000001
5,5310,11829.48
5,5313,15187.859999999999
5,5315,8593.4
5,5318,52203.95
5,5321,12293.609999999999
5,5347,7264.650000000001
5,5353,5459.86
5,5360,342937.89
5,5361,31941.55
5,5364,16095.789999999999
5,5368,13529.35
5,5376,63052.06
5,5380,57621.43
5,5390,6821.56
5,5400,16993.93
5,5411,11425.980000000001
5,5425,11846.7
5,5440,61052.99000000001
5,5467,7380.86
5,5475,8943.27
5,5480,31820.39
5,5483,13506.13
5,5490,54923.14
5,5495,28739.43
5,5501,3814.7499999999995
5,5541,21201.629999999997
5,5543,11861.88
5,5576,10439.25
5,5579,36891.26
5,5585,19388.070000000003
5,5591,20951.73
5,5604,37843.19
5,5607,48346.44
5,5615,471617.13
5,5628,12939.039999999999
5,5631,147437.16
5,5642,18125.180000000004
5,5647,12624.310000000001
5,5649,26772.67
5,5652,9926.65
5,5656,21382.7
5,5658,4895.4400000000005
5,5659,27787.83
5,5660,15038.9
5,5664,31335.730000000003
5,5665,42412.17999999999
5,5667,18087.670000000002
5,5670,23382.960000000003
5,5674,26139.859999999997
5,5679,21562.659999999996
5,5686,30708.920000000006
5,5690,29060.05
5,5697,26557.72
5,5736,41848.59
5,5756,39002.79
5,5761,21361.800000000003
5,5789,23284.35
5,5790,35246.33
5,5792,7116.619999999999
5,5809,8010.73
5,5819,12994.2
5,5837,223231.28
5,5842,9803.019999999999
5,5847,32365.43
5,5854,23183.2
5,5856,6802.32
5,5858,17169.450000000004
5,5861,14963.880000000001
5,5873,12351.91
5,5885,10606.48
5,5887,46744.770000000004
5,5890,28177.87
5,5893,36818.29
5,5895,28010.93
8,8000,4568.499999999996
8,8001,2761248.38
8,8078,45888.72
8,8137,26136.58
8,8141,14195.14
8,8296,44085.44
8,8372,13822.95
8,8421,27684.899999999998
8,8433,152714.80000000002
8,8436,29497.12
8,8520,8036.009999999999
8,8549,5945.360000000001
8,8558,15048.28
8,8560,27095.87
8,8573,48703.56
8,8606,8613.47
8,8634,25190.0
8,8638,77836.89000000001
8,8675,13387.22
8,8685,22784.879999999997
8,8758,595476.8599999999
8,8770,10343.849999999999
8,8832,15953.52
8,8849,16917.28
11,11001,14935986.44
13,13000,0.0
13,13001,1407554.9
13,13006,36188.35
13,13030,12980.02
13,13042,22400.25
13,13052,67457.06
13,13062,11252.69
13,13074,12637.49
13,13140,27106.91
13,13160,29327.31
13,13188,17623.46
13,13212,23349.14
13,13222,14980.210000000001
13,13244,69123.52
13,13248,11993.4
13,13268,14319.61
13,13300,14938.310000000001
13,13430,205891.51
13,13433,20768.89
13,13440,14138.29
13,13442,42737.72
13,13458,7953.760000000001
13,13468,42898.42
13,13473,19890.960000000003
13,13490,7094.8099999999995
13,13549,25555.16
13,13580,6764.789999999999
13,13600,15958.990000000002
13,13620,13804.210000000001
13,13647,16518.16
13,13650,15283.36
13,13654,29936.969999999998
13,13655,13718.939999999999
13,13657,41592.29
13,13667,16427.780000000002
13,13670,24839.69
13,13673,13269.5
13,13683,24465.16
13,13688,31698.350000000002
13,13744,20013.629999999997
13,13760,11387.94
13,13780,21483.47
13,13810,21569.98
13,13836,64287.89
13,13838,18403.1
13,13873,26076.059999999998
13,13894,19879.9
15,15000,0.0
15,15001,177710.91999999998
15,15022,6668.21
15,15047,19487.48
15,15051,7565.129999999999
15,15087,12607.99
15,15090,4524.24
15,15092,5380.76
15,15097,9652.78
15,15104,9326.650000000001
15,15106,5020.860000000001
15,15109,7199.629999999999
15,15114,4273.349999999999
15,15131,5283.099999999999
15,15135,8597.939999999999
15,15162,6982.84
15,15172,6079.75
15,15176,46226.0
15,15180,7317.929999999999
15,15183,15750.770000000002
15,15185,12346.090000000002
15,15187,7866.639999999999
15,15189,8026.14
15,15204,13521.539999999999
15,15212,6685.98
15,15215,3945.12
15,15218,9287.150000000001
15,15223,10439.41
15,15224,6483.889999999999
15,15226,5347.639999999999
15,15232,9236.890000000001
15,15236,5350.67
15,15238,128113.34999999998
15,15244,7430.720000000001
15,15248,5790.33
15,15272,7588.880000000001
15,15276,10326.82
15,15293,7160.2
15,15296,7449.74
15,15299,19604.79
15,15317,5051.42
15,15322,12543.31
15,15325,8154.84
15,15332,9983.55
15,15362,3370.33
15,15367,12844.08
15,15368,8252.14
15,15377,7977.76
15,15380,3956.89
15,15401,3570.25
15,15403,6208.16
15,15407,20859.38
15,15425,12207.79
15,15442,10282.050000000001
15,15455,13303.75
15,15464,6062.52
15,15466,6165.32
15,15469,25739.649999999998
15,15476,7792.64
15,15480,13802.789999999999
15,15491,20874.46
15,15494,8281.26
15,15500,6214.450000000001
15,15507,20624.100000000002
15,15511,5629.74
15,15514,10450.09
15,15516,34609.21
15,15518,7653.1
15,15522,4011.2799999999997
15,15531,12435.439999999999
15,15533,10290.39
15,15537,6036.82
15,15542,10119.81
15,15550,7517.51
15,15572,69215.23999999999
15,15580,9294.16
15,15599,18416.37
15,15600,12329.3
15,15621,5054.99
15,15632,15534.710000000001
15,15638,9380.92
15,15646,23925.2
15,15660,3934.33
15,15664,7780.700000000001
15,15667,8068.65
15,15673,6445.000000000001
15,15676,6489.36
15,15681,9582.380000000001
15,15686,11901.150000000001
15,15690,8799.19
15,15693,12040.59
15,15696,9370.21
15,15720,5285.17
15,15723,3867.5499999999997
15,15740,10381.439999999999
15,15753,9729.93
15,15755,10611.17
15,15757,7843.7
15,15759,144387.87
15,15761,8654.839999999998
15,15762,5120.11
15,15763,8392.75
15,15764,11632.14
15,15774,2931.0800000000004
15,15776,17647.31
15,15778,7623.25
15,15790,5789.700000000001
15,15798,6993.03
15,15804,13744.68
15,15806,15879.83
15,15808,5797.98
15,15810,10876.92
15,15814,11033.25
15,15816,8656.779999999999
